Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00081686 s 	 Throughput = 20.5386 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00028179 s 	 Throughput = 59.5376 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00029606 s 	 Throughput = 56.6675 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00034416 s 	 Throughput = 48.7483 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00044909 s 	 Throughput = 37.3584 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00033917 s 	 Throughput = 49.4658 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00038163 s 	 Throughput = 43.9618 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00077488 s 	 Throughput = 21.6514 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00029379 s 	 Throughput = 114.2115 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00148218 s 	 Throughput = 22.6386 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00037456 s 	 Throughput = 89.5836 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00038413 s 	 Throughput = 87.3522 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00045178 s 	 Throughput = 74.2723 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00064368 s 	 Throughput = 52.1291 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00043651 s 	 Throughput = 76.8694 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00049130 s 	 Throughput = 68.2978 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00156074 s 	 Throughput = 21.4991 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00055667 s 	 Throughput = 120.5537 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00280835 s 	 Throughput = 23.8962 GB/s
