3154:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00063620 s 	 Throughput = 13.1854 GB/s
3187:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00059338 s 	 Throughput = 14.1370 GB/s
3220:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00062045 s 	 Throughput = 13.5202 GB/s
3253:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00098597 s 	 Throughput = 8.5080 GB/s
3286:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00020110 s 	 Throughput = 83.4268 GB/s
3319:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00046994 s 	 Throughput = 35.7005 GB/s
3352:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00023210 s 	 Throughput = 72.2857 GB/s
3385:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00026054 s 	 Throughput = 64.3948 GB/s
3418:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00026750 s 	 Throughput = 62.7186 GB/s
3451:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00035451 s 	 Throughput = 47.3254 GB/s
3484:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00029822 s 	 Throughput = 56.2580 GB/s
3517:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00042010 s 	 Throughput = 39.9361 GB/s
3550:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00048040 s 	 Throughput = 34.9234 GB/s
3583:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00020894 s 	 Throughput = 160.5959 GB/s
3616:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00074277 s 	 Throughput = 45.1748 GB/s
3649:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00030007 s 	 Throughput = 111.8220 GB/s
