4837:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00237877 s 	 Throughput = 225.6931 GB/s
4870:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00243111 s 	 Throughput = 220.8336 GB/s
4903:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00250946 s 	 Throughput = 213.9389 GB/s
4936:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00458755 s 	 Throughput = 117.0278 GB/s
4969:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00239711 s 	 Throughput = 223.9657 GB/s
5002:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00240132 s 	 Throughput = 223.5729 GB/s
5035:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02731404 s 	 Throughput = 19.6555 GB/s
5068:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00474989 s 	 Throughput = 226.0564 GB/s
5101:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.02357929 s 	 Throughput = 45.5375 GB/s
5134:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00462469 s 	 Throughput = 232.1760 GB/s
5167:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00459877 s 	 Throughput = 233.4847 GB/s
5200:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00480319 s 	 Throughput = 223.5476 GB/s
5233:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00911959 s 	 Throughput = 117.7402 GB/s
5266:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00458733 s 	 Throughput = 234.0670 GB/s
5299:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.00466837 s 	 Throughput = 230.0036 GB/s
5332:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 134217728 	 Size = 1073741824 	 Time = 0.05437206 s 	 Throughput = 19.7480 GB/s
5365:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.00942061 s 	 Throughput = 227.9559 GB/s
5398:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 268435456 	 Size = 2147483648 	 Time = 0.05729082 s 	 Throughput = 37.4839 GB/s
