Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00081047 s 	 Throughput = 0.0101 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00075063 s 	 Throughput = 0.0218 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00078527 s 	 Throughput = 0.0417 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00081271 s 	 Throughput = 0.0806 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00072266 s 	 Throughput = 0.1814 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00079508 s 	 Throughput = 0.3297 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00076858 s 	 Throughput = 0.6822 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00073427 s 	 Throughput = 1.4281 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00087887 s 	 Throughput = 2.3862 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00088218 s 	 Throughput = 4.7545 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00117746 s 	 Throughput = 7.1243 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00075604 s 	 Throughput = 22.1910 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00083074 s 	 Throughput = 40.3911 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00116061 s 	 Throughput = 57.8221 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00164313 s 	 Throughput = 81.6840 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00270432 s 	 Throughput = 99.2617 GB/s
Alg = 1 	 NbFPE = 7 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00500360 s 	 Throughput = 107.2968 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00073714 s 	 Throughput = 0.0111 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00075983 s 	 Throughput = 0.0216 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00072880 s 	 Throughput = 0.0450 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00040834 s 	 Throughput = 0.1605 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00041262 s 	 Throughput = 0.3177 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00046227 s 	 Throughput = 0.5671 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00042740 s 	 Throughput = 1.2267 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00043591 s 	 Throughput = 2.4055 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00048986 s 	 Throughput = 4.2811 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00053640 s 	 Throughput = 7.8193 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00058854 s 	 Throughput = 14.2532 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00067132 s 	 Throughput = 24.9915 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00093633 s 	 Throughput = 35.8363 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00121939 s 	 Throughput = 55.0346 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00176128 s 	 Throughput = 76.2046 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00296844 s 	 Throughput = 90.4299 GB/s
Alg = 1 	 NbFPE = 8 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00527003 s 	 Throughput = 101.8725 GB/s
Alg = 2 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00027725 s 	 Throughput = 0.0295 GB/s
Alg = 2 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00027481 s 	 Throughput = 0.0596 GB/s
Alg = 2 	 Range = 1 	 NbElements = 4096 	Size = 32768 	 Time = 0.00027542 s 	 Throughput = 0.1190 GB/s
Alg = 2 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00019911 s 	 Throughput = 0.3291 GB/s
Alg = 2 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00020438 s 	 Throughput = 0.6413 GB/s
Alg = 2 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00020743 s 	 Throughput = 1.2638 GB/s
Alg = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023532 s 	 Throughput = 2.2280 GB/s
Alg = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024729 s 	 Throughput = 4.2403 GB/s
Alg = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00033167 s 	 Throughput = 6.3230 GB/s
Alg = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00032661 s 	 Throughput = 12.8421 GB/s
Alg = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00024077 s 	 Throughput = 34.8405 GB/s
Alg = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00030333 s 	 Throughput = 55.3094 GB/s
Alg = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00031857 s 	 Throughput = 105.3289 GB/s
